census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Carcross Region,Total number of occupied private dwellings by number of rooms,,8 or more rooms,10,,,,,,,,YBS048008
2011,Carcross Region,,,Average number of rooms per dwelling,5,,,,,,,,YBS048008
2011,Carcross Region,,,Total number of occupied private dwellings by number of bedrooms,165,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,35,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,70,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,45,,,,,,,,YBS048008
2011,Carcross Region,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,15,,,,,,,,YBS048008
2011,Carcross 4,,,Total number of occupied private dwellings by condition of dwelling,20,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs98'>98</a>,6001008
2011,Carcross 4,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,10,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,10,,,,...,...,,,6001008
2011,Carcross 4,,,Total number of occupied private dwellings by period of construction,20,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs99'>99</a>,6001008
2011,Carcross 4,Total number of occupied private dwellings by period of construction,,1960 or before,0,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by period of construction,,1961 to 1980,0,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by period of construction,,1981 to 1990,10,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by period of construction,,1991 to 2000,10,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by period of construction,,2001 to 2005,0,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by period of construction,,2006 to 2011,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs100'>100</a>,6001008
2011,Carcross 4,,,Total number of occupied private dwellings by number of rooms,20,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs101'>101</a>,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,10,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of rooms,,5 rooms,0,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of rooms,,6 rooms,0,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of rooms,,7 rooms,0,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of rooms,,8 or more rooms,0,,,,...,...,,,6001008
2011,Carcross 4,,,Average number of rooms per dwelling,4.8,,,,...,...,,,6001008
2011,Carcross 4,,,Total number of occupied private dwellings by number of bedrooms,20,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs102'>102</a>,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,0,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,10,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,10,,,,...,...,,,6001008
2011,Carcross 4,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,0,,,,...,...,,,6001008
2011,Carcross-Tagish Region,,,Total number of occupied private dwellings by condition of dwelling,370,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,275,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,95,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,,,Total number of occupied private dwellings by period of construction,370,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by period of construction,,1960 or before,15,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by period of construction,,1961 to 1980,85,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by period of construction,,1981 to 1990,100,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by period of construction,,1991 to 2000,105,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by period of construction,,2001 to 2005,40,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by period of construction,,2006 to 2011,20,,,,,,,,6001012
2011,Carcross-Tagish Region,,,Total number of occupied private dwellings by number of rooms,370,,,,,,,,6001012
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,200,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of rooms,,5 rooms,70,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of rooms,,6 rooms,40,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of rooms,,7 rooms,20,,,,,,,,6001012
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of rooms,,8 or more rooms,35,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,,,Average number of rooms per dwelling,5,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,,,Total number of occupied private dwellings by number of bedrooms,370,,,,,,,,YBS048008036
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,125,,,,,,,,6001012
2011,Carcross-Tagish Region,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,145,,,,,,,,YBS048008036
